date,DTCR,NLR,HOMZ,AGNG,FITE
2020-11,0.04211390641433854,0.0683478103733719,0.12290573582252806,0.09616160619100533,0.14783742366268737
2020-12,0.035560036881440604,0.018426412714654505,0.0190964719705089,0.0400447256819656,0.13263837478230056
2021-01,0.013342916285871587,0.0070215126646167025,0.05003930699263037,0.01208908802874542,0.014168842597364506
2021-02,-0.01842430336948986,-0.016924869413514898,0.05338248899604703,-0.013899776877816072,0.010029564297194371
2021-03,0.011650425478602067,0.10056693736064326,0.07928943845463898,-0.0021574401972059842,0.01645915926376529
2021-04,0.06206022144705181,0.020793660214860177,0.06142591572376599,0.04414411715519351,0.04517279705152699
2021-05,-0.01132541690867539,0.017753745754042205,0.01070657751312476,0.007385550063144564,0.019920677955120203
2021-06,0.050146283430651195,-0.03709151439273872,-0.009091524593527911,0.04604488798124806,0.015982211182987704
2021-07,0.01122036248373992,-0.010297402874369088,0.024626318474362474,0.001010589354501601,0.006254729437118245
2021-08,0.028801974104103456,0.0371867929202474,0.023197283314900785,0.01470678353571464,0.022331392758502933
2021-09,-0.06215006308510951,-0.015233168073559122,-0.05464610797166891,-0.05613485487690473,-0.054665389326929215
2021-10,0.037611915002321306,0.046406421031949474,0.07049004996110964,0.01778375202627247,0.0689685709634209
2021-11,0.025891779088792255,-0.02938531931653976,-0.0007849269380902912,-0.07631032304861696,-0.0517742425153731
2021-12,0.03813823806109795,0.01745913019274803,0.06448429186453208,0.04794650569599379,0.02998078288541861
2022-01,-0.10651068944458675,-0.009779274387256898,-0.08343837088118111,-0.06861969834087067,-0.08717371039335653
2022-02,-0.043075130203620304,0.016365715186255292,-0.03853174889986988,0.01387329060264686,0.06129104360794613
2022-03,0.05139012347171423,0.051823068393622274,-0.022270905195470148,0.05991129293483599,0.03842220372332372
2022-04,-0.056155317840287045,-0.02850617754474516,-0.05195253610748973,-0.06978373441859076,-0.09875852945744157
2022-05,0.013235689678445128,0.025176698364100414,-0.010608282792372914,-0.017254308367502302,-0.011624156243745687
2022-06,-0.06119208116395203,-0.07685517316812163,-0.11642707376649652,-0.03458010150656754,-0.062127131995028284
2022-07,0.05199104000669785,0.06392341444316507,0.12899365871581137,0.04238189958073413,0.056151134191218866
2022-08,-0.05612902786669649,0.014031371308862894,-0.060086817296008066,-0.06646330688410851,-0.005810455168565376
2022-09,-0.1606288968801245,-0.08373237762654107,-0.10410390470638253,-0.04161583890754539,-0.09915772415459834
2022-10,-0.03460904336039461,0.04027103361244766,0.05158873007089659,0.05994056310962592,0.10673264810224836
2022-11,0.1336987971065935,0.0612320217189799,0.06003412841529543,0.06795723466912751,-0.032826993959709116
2022-12,-0.07142847977455091,-0.0373553225011648,-0.05143847922671341,-0.014930493510755372,-0.03519770324533256
2023-01,0.12638788579817284,0.08060732321587705,0.14557570416920762,0.02794223624469372,0.06072318804484067
2023-02,-0.07474595534379425,-0.047840216753314735,-0.029682060301964297,-0.02683828265300714,0.0032475743587188077
2023-03,0.030588281356999314,0.0041569188847525584,-0.022131940452518428,0.023185790366716086,0.014830232369426044
2023-04,-0.012176608962433999,0.018898487880693926,0.03809543140424365,0.05237601392562863,-0.04724470326702224
2023-05,-0.0061632766104314785,-0.03479959575977187,-0.0287514079012271,-0.03781478365468183,0.06814473710361768
2023-06,0.05426347505910334,0.08729875831285949,0.12729913507483892,0.024922454033907693,0.03507576368205445
2023-07,0.025787241746626055,0.03315934896649675,0.0357666069255389,0.008877026906689789,0.01435170898965299
2023-08,-0.02235035095371496,0.047572598640723385,-0.03334100974205434,-0.023017351768963246,-0.0003430656245149155
2023-09,-0.06194685103598374,0.1018660898530046,-0.07821103835324716,-0.04543124214261063,-0.05460788107848913
2023-10,-0.02515737691411446,-0.01298507952230088,-0.0714097846393047,-0.04198047429211049,-0.020028321538970162
2023-11,0.15564531657569858,0.05734313826231974,0.12861801813862672,0.07664527332246074,0.11395255229594792
2023-12,0.0230285689842169,-0.030024552280308314,0.14061590477352337,0.06000743958425514,0.07916320044287661
2024-01,-0.004700287304597817,0.10523642269031863,-0.03334385705161702,-0.0017317830195888728,-0.0063281482587982385
2024-02,0.05822299070301762,-0.035629291940528884,0.04441556026962323,0.04315526274197046,0.04296532612985593
2024-03,0.013689680678915295,0.039408753354051695,0.06070848941365381,0.021023993892104853,0.0035540377185825367
2024-04,-0.08141477253023632,0.010268572805280485,-0.06379081178812762,-0.04649621085759914,-0.052802237057819834
2024-05,0.038924683727575404,0.13083146777488386,0.028414097042183117,0.034831150977917336,0.01510966059799368
2024-06,0.014824789190978738,-0.07847433345434474,-0.0070045812686380104,0.012453750115553275,0.027083055151958524
2024-07,0.03333135276779031,-0.01338008841249394,0.11201768763167874,0.03744364707884973,0.058136209303726316
2024-08,0.03883498761121995,-0.04233211971524975,0.0331540755657298,0.066593845314461,0.01660829008067921
2024-09,0.09781941344503142,0.10574391326442201,0.041145482838045755,-0.01015979470478201,0.01520276359663919
2024-10,-0.03007955228456849,0.08892880324933783,-0.058588156325745544,-0.025066344985440803,-0.005141793933363559
2024-11,0.03510833931902568,0.04825235783644044,0.071627743242068,-0.0017806260489511283,0.1260055756912073
2024-12,-0.06444333482797127,-0.1471112555773586,-0.11347667933181738,-0.05517480348784298,-0.03161990788019331
2007-09,,0.09443731022038437,,,
2007-10,,0.050118001728199246,,,
2007-11,,-0.12291761088244335,,,
2007-12,,-0.0862421066213862,,,
2008-01,,-0.06267177241684152,,,
2008-02,,0.053413270294547344,,,
2008-03,,-0.10561029365533858,,,
2008-04,,0.05098934591475346,,,
2008-05,,0.14299413073916445,,,
2008-06,,-0.04468040969315523,,,
2008-07,,-0.10786309061389121,,,
2008-08,,-0.045871644078216534,,,
2008-09,,-0.22836524173488848,,,
2008-10,,-0.25233645519405123,,,
2008-11,,0.018452301566742157,,,
2008-12,,0.1496197871051419,,,
2009-01,,-0.045246339608246755,,,
2009-02,,-0.14696472923703885,,,
2009-03,,0.07989969856254553,,,
2009-04,,0.21271698070709322,,,
2009-05,,0.12917071426134075,,,
2009-06,,-0.052343019617383746,,,
2009-07,,0.01514515609003686,,,
2009-08,,0.014479919948992004,,,
2009-09,,0.02724892133929524,,,
2009-10,,-0.05473690134718645,,,
2009-11,,0.008463490355976377,,,
2009-12,,0.0008833853311203121,,,
2010-01,,-0.03869138015808915,,,
2010-02,,0.018708809371991375,,,
2010-03,,0.03535372613141363,,,
2010-04,,-0.012860472213607865,,,
2010-05,,-0.11949690749000941,,,
2010-06,,-0.05510175465186895,,,
2010-07,,0.1069113697436006,,,
2010-08,,-0.042439340953535076,,,
2010-09,,0.07641387675412825,,,
2010-10,,0.06294344311642219,,,
2010-11,,0.09216400984228534,,,
2010-12,,0.03342858484427724,,,
2011-01,,0.0747688832849076,,,
2011-02,,0.024493111381284516,,,
2011-03,,-0.14045564014520018,,,
2011-04,,0.020860351041998015,,,
2011-05,,-0.03363136734260708,,,
2011-06,,-0.05198249407071476,,,
2011-07,,0.03578086365189459,,,
2011-08,,-0.11036336950792847,,,
2011-09,,-0.14069608944375112,,,
2011-10,,0.11384964106436657,,,
2011-11,,-0.06954652219075608,,,
2011-12,,-0.15968304731322713,,,
2012-01,,0.26949043256060645,,,
2012-02,,0.027043278346337685,,,
2012-03,,-0.03744865600748404,,,
2012-04,,-0.04012176326582961,,,
2012-05,,-0.13552895444952928,,,
2012-06,,0.04395629719360028,,,
2012-07,,-0.007719268145332747,,,
2012-08,,0.019094491768334,,,
2012-09,,0.023594835599193065,,,
2012-10,,-0.023728724168761928,,,
2012-11,,-0.04583322187689076,,,
2012-12,,0.0014553926571660991,,,
2013-01,,0.0897917876847234,,,
2013-02,,-0.026517808115765096,,,
2013-03,,0.014336687248477364,,,
2013-04,,-0.007773792076662511,,,
2013-05,,0.03276352472793098,,,
2013-06,,-0.04413772625090884,,,
2013-07,,0.08104846632754326,,,
2013-08,,-0.03381551019662854,,,
2013-09,,0.039604286627543006,,,
2013-10,,0.04673315463011263,,,
2013-11,,0.028988428349207673,,,
2013-12,,-0.011104189499656303,,,
2014-01,,0.011263237442465934,,,
2014-02,,0.06647319384280292,,,
2014-03,,-0.020388215274231958,,,
2014-04,,0.003171410266275654,,,
2014-05,,0.0027663038969709675,,,
2014-06,,0.03507370600453452,,,
2014-07,,-0.04492654077272673,,,
2014-08,,0.024516570193925613,,,
2014-09,,-0.01128394679738065,,,
2014-10,,0.03994491520774135,,,
2014-11,,0.0,,,
2014-12,,-0.026868391309552986,,,
2015-01,,0.029737113507395385,,,
2015-02,,-0.035983634276087084,,,
2015-03,,-0.013044278751129457,,,
2015-04,,0.015656572105981148,,,
2015-05,,0.008808848285572823,,,
2015-06,,-0.048819209872188796,,,
2015-07,,0.03922401259710728,,,
2015-08,,-0.04717942219809823,,,
2015-09,,-0.019806280805166332,,,
2015-10,,0.037188624790946534,,,
2015-11,,-0.042280012916187215,,,
2015-12,,-0.024669972425832465,,,
2016-01,,0.04219424618320833,,,
2016-02,,0.0063807055521876155,,,
2016-03,,0.06602526822453836,,,
2016-04,,-0.020713750935862252,,,
2016-05,,-0.001884855110181216,,,
2016-06,,0.049727150508643625,,-0.018908647282794067,
2016-07,,0.004997160313295668,,0.0,
2016-08,,-0.039578280993789794,,0.07852037127829536,
2016-09,,0.006833466704991631,,0.01185319793994477,
2016-10,,-0.00925532744801083,,-0.10685606946371307,
2016-11,,-0.02532696838864923,,0.016311770304664908,
2016-12,,0.01064964024284154,,0.004388853223804334,
2017-01,,0.034111693220905126,,0.03303084732758599,
2017-02,,0.03167900632430465,,0.06305044536788929,
2017-03,,0.01678600077245318,,0.01692895845479514,
2017-04,,-0.004227840190907051,,0.040377541582293563,
2017-05,,0.03841485210670226,,0.013958182692872523,
2017-06,,-0.02180683994819599,,0.05814219929527886,
2017-07,,0.020103637969749455,,-0.005394525946327389,
2017-08,,0.03824392061566795,,0.025150255778525477,
2017-09,,-0.039278406753261996,,0.005705488405887804,
2017-10,,0.04870895558555621,,0.001960128267003869,
2017-11,,0.011937945181105913,,0.0062792214508404776,
2017-12,,-0.09566803896850817,,-0.005114973366352915,
2018-01,,0.038837817747324976,,0.07941850265033357,0.03657932891368998
2018-02,,-0.02095340203702556,,-0.0268528568919989,0.01853025810296427
2018-03,,0.019933047258552383,,-0.03125303587328376,-0.009238673824464083
2018-04,,0.053898168737969376,,-0.00352240749886068,0.008516080436587359
2018-05,,-0.018543634036233714,,0.043594234274396015,0.04626099039341325
2018-06,,0.01372319821291712,,0.02081301282763315,-0.0006055296271428867
2018-07,,0.017657291299611577,,0.026158732228244386,0.025726079699061044
2018-08,,0.008097222459680253,,0.0438146518705016,0.050369465252755985
2018-09,,0.008988441099325062,,0.013692328591468739,0.014802669897916676
2018-10,,-0.017058582224859342,,-0.1270592073657668,-0.10687788780202012
2018-11,,0.004820749879825614,,0.040028124882881544,0.005683895900725711
2018-12,,-0.048743113209828715,,-0.0744875467334708,-0.09700413286589682
2019-01,,0.06311527228332015,,0.10649494039526552,0.1375909508908988
2019-02,,0.02049660598226799,,0.03464877296773339,0.08621236429828283
2019-03,,0.00038621700014407345,,-0.0014884934439389763,-0.011961805489915989
2019-04,,-0.012548160885336057,0.03927226052125765,-0.03684542021179882,0.06030891814048567
2019-05,,-0.04164214659957266,-0.044319990059664915,-0.020747830871937656,-0.05343015967536324
2019-06,,0.03855555667605137,0.05003181491766129,0.050572959001904616,0.06591059839363056
2019-07,,-0.02691026266748897,0.027646411518144065,0.01643560253645493,0.02224621796199644
2019-08,,-0.007670467791854874,0.005753374328082872,-0.008160408662428953,-0.032928366703201095
2019-09,,0.013832315174062249,0.04379779701970543,-0.006124223406993701,0.0040471900809735395
2019-10,,-0.018258422153922482,0.01970482447546118,0.05879588094246446,0.023435490344858145
2019-11,,-0.01491920988566875,0.00567901468383103,0.054198233618573344,0.031079636948216693
2019-12,,0.008298708374994579,-0.004091844222845142,-0.007164108175221617,-0.0056867426218135675
2020-01,,0.04869585592779857,0.02122432896983506,-0.00010001749455668119,0.030302779296089266
2020-02,,-0.06712222207722263,-0.09288992085945269,-0.04210791963470906,-0.10702000803176315
2020-03,,-0.1492889322125679,-0.28807263825395757,-0.10343283446906926,-0.14390972373265432
2020-04,,0.07900728716348371,0.16866154644996945,0.12680249934559007,0.12317194696065137
2020-05,,0.04459040059970509,0.11287398959367123,0.07038836380819058,0.08792607132294927
2020-06,,-0.04470905695779093,0.04086616661346376,0.008204456966098395,-0.011098324939171844
2020-07,,0.04350894398440941,0.08488970690477715,0.035304162452804544,0.03486468193879522
2020-08,,0.00721201506758562,0.05994083254890725,0.01662036829800928,0.01995691461021365
2020-09,,-0.002685091288096686,-0.0013327549077202239,0.0003893161616350671,-0.04009102872168935
2020-10,,0.014359403167032658,-0.020760468178348312,-0.047081651865105045,-0.04006992037114321
