Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1963-07-01,0.008587000000000001,-0.006332000000000001,0.004523,-0.0031130000000000003,-0.015147,-0.020776000000000003,-0.0007710000000000002,-0.012849,-0.022449000000000004,-0.01458,-0.026227,-0.015947,-0.010083,-0.024029,-0.020226,-0.011814999999999999,-0.020433000000000003,-0.021868000000000002,-0.018445,-0.021274,-0.001309,0.0021389999999999994,0.008659999999999998,-0.006985,-0.013745
1963-08-01,0.039896,0.011229999999999999,0.012417,0.022568,0.044143999999999996,0.05320299999999999,0.04272,0.04195,0.042162,0.07995100000000001,0.048379,0.050555,0.051330999999999995,0.045913,0.049062,0.053253999999999996,0.044969,0.060016,0.074441,0.050956,0.055323,0.040133,0.043841,0.07920400000000001,0.061484
1963-09-01,-0.020043000000000002,0.0035039999999999993,-0.012707,-0.017915,-0.006284,-0.043225000000000006,-0.017772,-0.011338,-0.017635,-0.031943,-0.046015,-0.02069,-0.006003,-0.012441,-0.021027,-0.029344000000000002,-0.024163,-0.020582,-0.042341000000000004,-0.022702,-0.016452,-0.010780999999999999,-0.011196999999999999,-0.004612,-0.037733
1963-10-01,0.0008780000000000003,-0.010228999999999999,0.010166,-0.0009959999999999997,0.020811000000000003,0.009026000000000001,0.039511000000000004,0.020626,0.020158000000000002,0.036414,0.021050999999999997,0.0013300000000000005,0.024561000000000003,0.022338999999999998,0.007796000000000001,-0.005315,0.00409,0.022314,0.045624000000000005,0.0032380000000000004,0.050361,0.014520000000000002,-0.006253999999999999,0.021276000000000003,0.0018020000000000006
1963-11-01,-0.036019,-0.041136,-0.020593,-0.013235,-0.013776999999999998,-0.045295999999999996,-0.020184,-0.010544999999999999,-0.003254,-0.00385,-0.032657,-0.016481000000000003,-0.013191999999999999,-0.010766000000000001,-0.014863000000000001,-0.011783000000000002,-0.009011,-0.010216,0.010896,0.032707,-0.015369,0.00738,-0.019614,-0.024016000000000003,0.010796
1963-12-01,-0.026335,-0.012465,-0.012265999999999999,-0.019455,-0.012897,-0.011593,-0.010482,0.007384,0.005457999999999999,-0.0017699999999999999,4.6000000000000034e-05,0.014092,0.010512,0.013066000000000001,0.001738,-0.004462,0.009307,0.014498,0.029988,0.058781,0.023668,0.020322999999999997,0.018985,0.022247,0.018454
1964-01-01,0.035925,0.025727999999999997,0.039220000000000005,0.03749299999999999,0.046503,-0.023289999999999998,-0.007915,0.033367999999999995,0.012616000000000002,0.038813,-0.002007,0.0025069999999999997,0.024314,0.035647,0.029166,-0.007314,0.015531,0.009447999999999998,0.033020999999999995,0.030329,0.027631,0.028960999999999997,0.013725000000000001,0.017134,0.013236000000000001
1964-02-01,0.026226,0.02559,0.020423999999999998,0.0007360000000000001,0.042144,0.013598,0.014694,0.023531000000000003,0.018853,0.058443,-0.0013639999999999998,0.027659999999999997,0.013722,0.034931000000000004,0.037540000000000004,0.023343000000000003,0.013019000000000001,0.025844,0.069447,0.043521,0.015670999999999997,0.002632,0.007594000000000002,0.037389,0.034967
1964-03-01,0.0016530000000000004,0.011760999999999999,0.017612000000000003,0.033918000000000004,0.022128000000000002,0.020418,0.028964000000000004,0.030467,0.053506,0.058522000000000005,-0.011209,0.026738,0.040341,0.052547,0.064619,0.014649999999999998,0.026667000000000003,0.049396999999999996,0.068187,0.004147,0.008475,0.004534999999999999,0.033137,0.035282,-0.0016089999999999998
1964-04-01,-0.018667,0.023218000000000003,-0.0074659999999999995,-0.012086,-0.01043,-0.012022,-0.041747,0.0046700000000000005,-0.019587,-0.009475,-0.023704999999999997,-0.015353,-2.599999999999998e-05,-0.010533999999999998,-0.013148,-0.029945,0.0005340000000000002,0.016884,-0.029283999999999998,-0.025705,-0.0006279999999999997,0.011845,0.005182000000000001,-0.011954,0.021247
