ticker,comnam,siccd,r2,similarity,rank,weight_eq,weight_sim,theme,etf
XTO,X T O ENERGY INC,1311,0.3313546276983932,0.9434166572708836,17,0.04,0.03960580055720737,Energy Independence,NLR
EQT,E Q T CORP,1311,0.23901719375544406,0.94262619302676,18,0.04,0.03957261588852563,Energy Independence,NLR
UGI,U G I CORP NEW,4932,0.13539811509693322,0.9413257633819491,19,0.04,0.039518022240264156,Energy Independence,NLR
NFG,NATIONAL FUEL GAS CO N J,4924,0.23301078147849774,0.9395066993177937,20,0.04,0.03944165567627521,Energy Independence,NLR
OGS,ONE GAS INC,1311,0.1074345834870436,0.9378323854774295,21,0.04,0.039371365906086635,Energy Independence,NLR
STR,QUESTAR CORP,1311,0.12306030112770039,0.9360326430210371,22,0.04,0.039295810487139066,Energy Independence,NLR
VLO,VALERO ENERGY CORP NEW,2911,0.2876582943324215,0.9346964588006612,23,0.04,0.03923971581748061,Energy Independence,NLR
GGG,GRACO INC,3561,0.39367344448598507,0.9332852106515406,24,0.04,0.039180469871058075,Energy Independence,NLR
MTDR,MATADOR RESOURCES CO,1311,0.4346771851951826,0.9297380751365136,25,0.04,0.03903155672576346,Energy Independence,NLR
CAR,AVIS BUDGET GROUP INC,6531,0.2299395334457397,0.970135081099562,1,0.04,0.04564542140491521,US Housing & Consumer,HOMZ
HNI,H N I CORP,2522,0.16639949069054816,0.9651149526231081,2,0.04,0.045409221432067264,US Housing & Consumer,HOMZ
MLHR,MILLER HERMAN INC,2520,0.2881408231131438,0.9620928881498083,3,0.04,0.045267031535954814,US Housing & Consumer,HOMZ
MTZ,MASTEC INC,1623,0.3207123332827978,0.9617155804233798,4,0.04,0.045249278987358546,US Housing & Consumer,HOMZ
TPX,TEMPUR SEALY INTERNATIONAL INC,2519,0.26152902704251846,0.9585659440669823,5,0.04,0.045101086759739006,US Housing & Consumer,HOMZ
BLD,TOPBUILD CORP,1742,0.4098748320518655,0.9503366888746241,6,0.04,0.0447138955031585,US Housing & Consumer,HOMZ
EME,EMCOR GROUP INC,1731,0.45928131860037513,0.9492136214694578,7,0.04,0.04466105452670722,US Housing & Consumer,HOMZ
VAC,MARRIOTT VACATIONS WORLDWIDE COR,6531,0.5888629366339195,0.9460340573928332,8,0.04,0.04451145418239541,US Housing & Consumer,HOMZ
JLL,JONES LANG LASALLE INC,6531,0.43990220028486626,0.9187862759689849,9,0.04,0.04322943017391309,US Housing & Consumer,HOMZ
PWR,QUANTA SERVICES INC,1731,0.3215247646404339,0.886661737247694,10,0.04,0.041717951890177726,US Housing & Consumer,HOMZ
NVR,N V R INC,1531,0.176886521484231,0.8771458370339683,11,0.04,0.041270223234895695,US Housing & Consumer,HOMZ
BEAV,B E AEROSPACE INC,2531,0.3330448263089232,0.8701965686122586,12,0.04,0.0409432561024369,US Housing & Consumer,HOMZ
JOE,ST JOE CO,6552,0.33973184074319207,0.8631903026855158,13,0.04,0.04061360720412203,US Housing & Consumer,HOMZ
KBR,K B R INC,1629,0.2920310825117167,0.8565376717952241,14,0.04,0.0403005970405327,US Housing & Consumer,HOMZ
FBN,FURNITURE BRANDS INTL INC,2511,0.45597112802571804,0.8411109296165237,15,0.04,0.039574759823251926,US Housing & Consumer,HOMZ
CSGP,COSTAR GROUP INC,6531,0.22125785131573072,0.8367656607204845,16,0.04,0.039370312387279845,US Housing & Consumer,HOMZ
