factor,label,sr_rppca,sr_pca
F1,Momentum,0.21405386285818123,0.13981638571828078
F2,Value,0.6463636621436876,0.18138546691491103
F3,Momentum,0.49571034310677625,0.4118163629567352
F4,Value,0.5493024955027254,0.29945968953985436
F5,Momentum,0.4755910665607994,0.3346302058198026
