,F1,F2,F3,F4,F5
ChNWC,-0.007062257678538464,-0.02450675720753379,-0.014778662837155796,-0.0273792051969325,-0.02540208064514716
ChTax,0.032599573395880335,0.006085199231500596,0.10296090643621665,0.07079995774490276,0.06471194897415014
CompEquIss,0.016501961229169245,-0.033037248036276855,0.024079285723647717,-0.009443269474044608,-0.027131460883797073
CompositeDebtIssuance,0.009160652404180498,0.0017469592596094053,-0.0036681632955694946,-0.03277601646941784,-0.021958160328634214
ConvDebt,0.03396515225433839,0.007265641018363916,-0.011466187483311612,-0.03680993644221063,-0.018874431004318053
CoskewACX,-0.006574874125989504,-0.010371354887183173,0.017848407045065306,0.03236654789739638,-0.033009419468485506
Coskewness,-0.022316213883890292,-0.019968733670837468,-0.029427435133820845,0.03733462691486142,0.002492504088021343
DelCOA,0.0039027714223171172,0.06695594766494968,-0.004498056598973273,-0.031880913185257403,-0.03165925930009869
DelCOL,0.007417685216945386,0.05222514381006526,-0.027002786687732278,-0.030322525041245243,-0.0580482819189296
DelEqu,-0.04239851974903826,0.11988060760361714,0.0302901199372337,-0.07336896189072535,-0.04938468102873043
DelFINL,0.011247580332545215,0.03517097532138018,0.02552797209387408,0.00920901294829941,0.00531553377229807
DelLTI,-0.027906828765566855,-0.0003663746771034882,0.010035450861065378,-0.047039819300419394,-0.024222650722301297
DelNetFin,0.024108622772430165,-0.007135248926937203,-0.005634951036218285,-0.0021746393738951405,-0.005905463351851905
DivInit,0.06375364005410497,0.011848211849905187,-0.02473816959511429,0.03327211946200123,-0.059322033666221956
DivOmit,-0.025340945934569075,-0.012623504285450797,0.09719996095826003,-0.002535101329448409,0.08824785117835092
DivSeason,-0.0029505534285841515,0.000654804075089368,0.0022033066326671595,-0.0045745693940769045,-0.006821695426343572
DivYieldST,0.015395482245258909,0.051800430012917655,-0.009100100404098426,0.007364851819960852,0.046691885980539485
DolVol,-0.041975533740115555,0.17852161575729206,-0.030231957920908544,-0.11410731116910847,0.004616767159847015
EBM,-0.008486219023629513,0.013232280787413656,-0.030291941482660283,-0.026576905024967134,-0.05667709149348869
EP,-0.0212736298967131,0.06833721292134548,-0.07654508696336806,0.012481206939008074,-0.09342465550320829
EarnSupBig,0.036989126667340354,0.006750578944809009,0.010216563488194441,0.005842827206655666,-0.0326146293097186
EarningsConsistency,0.021999200799874226,-0.0454738970251783,-0.013460905307803356,0.02180833273757448,-0.014319948745030675
EarningsSurprise,0.02092920346148462,0.02107293530983803,0.0645514997360609,0.013751536960814994,0.022587884597777396
EntMult,0.051110900222493684,0.12434049803314282,-0.07395301106809105,0.04805206683392281,-0.0370796964669437
EquityDuration,0.05243960198098363,0.10240990630278136,-0.07588480638282231,0.06643020980105364,-0.11800842820093331
ExchSwitch,-0.003165304349034772,0.07563525688230936,0.01996425402223552,-0.06872943563287272,0.03145172239956607
FirmAge,-0.07187224116272081,-0.04819539991842765,-0.012403476336285132,-0.029784008202040285,-0.0679229725873559
FirmAgeMom,0.09202973598062351,0.10186355614951277,0.2400838513461867,0.04471723171924807,-0.03495856554801986
Frontier,-0.05334189432587335,0.25518118960384656,-0.00012337844567121944,0.03591449447352025,0.07778904636988342
GP,0.025596153504107426,-0.022404042007137907,0.003993590485121844,0.026876826726176334,0.024272714308006985
GrAdExp,0.013316026906611607,0.02326674483009292,0.005450455599258554,-0.024578176128853765,-0.0591887585296621
GrLTNOA,-0.0036703602236406135,-0.00281710170578933,-0.004439502821545838,-0.046979392385394524,-0.03370656099020461
GrSaleToGrInv,-0.0015005571045399644,-0.01434069883211963,-0.00133048441030127,-0.029337382591999663,-0.04153498045936995
GrSaleToGrOverhead,0.003388901962840125,-0.06435204281022937,-0.0444036562099333,-0.03737725521984137,-0.04560911233464064
Herf,-0.04018361566701829,-0.03468998229023609,0.02293533241038577,-0.09487157063550666,0.007187532577918056
HerfAsset,-0.03868110312603521,-0.04154336908047421,0.02647502705247975,-0.11258616891117551,-0.025285475524183313
HerfBE,-0.03262636089091393,-0.03975573730839486,0.02780180107767445,-0.10573462231685107,-0.020128126452109762
High52,0.17795144879421615,-0.052439856480977494,0.05072123494874156,-0.05353450022914759,-0.12112929145967412
IdioVol3F,0.2119305026474121,0.06906603166536536,-0.08713500950686903,-0.04373580995879448,0.10355563722367904
IdioVolAHT,0.22937436049205845,0.03291308870151448,-0.15744940879902627,-0.025663688836351825,0.09609423691441163
Illiquidity,-0.023098947478252193,0.04726901120385875,0.001118514513604296,-0.0814404040762342,-0.07931856267101207
IndMom,0.010287590198276918,-0.015549905254731126,0.11006300530781918,-0.04775030182326815,-0.12572137139352937
IndRetBig,0.033040586889026315,0.13167384208478372,0.17071003230377982,0.11308919986189507,0.1071955862708935
IntMom,0.09792243340046704,0.026847621058636653,0.22454447358367102,0.10756884241572415,0.08575207332327753
IntanBM,-0.03639097463397129,0.09523616721678851,-0.13307285575054695,0.045692447581282124,-0.058220033253622336
IntanCFP,-0.023316359193928212,0.0857567165828093,-0.14383153387127987,0.07470560179110382,-0.032132309801966415
IntanEP,-0.008547884215866358,0.07586474959030083,-0.07193160340202813,-0.008795777112905316,-0.11085447138736818
IntanSP,-0.1087396465431761,0.14499771996094657,0.0003639493359625695,-0.05817243656778587,-0.09002510319537504
InvGrowth,-0.0015530322027089503,0.09250671263543801,0.05059085439129266,0.004494510763247797,0.006708453825316451
InvestPPEInv,-0.006229589283374158,0.08055116407715755,0.03146595489009106,-0.03539852415122352,-0.011486713397472025
Investment,-0.01974455561738356,-0.010311210180587616,0.007811458384719985,-0.01853459528919415,-0.0904708353314035
LRreversal,-0.10113495140201176,0.15951575262169293,0.03939688522213844,-0.08100416256587209,-0.09052588561961626
Leverage,0.05288260092703792,0.13361856248574358,-0.14271903565633545,0.06786764074478165,-0.1575827849437227
MRreversal,-0.054851678666420975,0.07675246563180362,0.014000267757984963,-0.0850060546080025,-0.051115789466077595
MaxRet,0.21799054869382467,0.09160784412070842,-0.10692480550271154,-0.07605459186318594,0.13041256743912363
MeanRankRevGrowth,-0.008036404052108707,0.02912791050073547,-0.013240163560422666,-0.03992326216669525,-0.05474552025080711
Mom12m,0.1999876318563717,-0.056886849096840574,0.24341373832198984,0.08492748553193528,-0.18808946478968774
Mom12mOffSeason,0.1784912686642352,-0.013037440833753633,0.29248574311220427,0.039569594921270566,-0.07176946226730407
Mom6m,0.18655333311313224,-0.031020507069191797,0.2208956674851207,0.03430129574858772,-0.24079572631491217
MomOffSeason,-0.06928116450743253,0.23257735824989323,-0.010746186557270903,0.014212881491104442,-0.03478075205652845
MomOffSeason06YrPlus,0.006280466500406905,0.06323515148924658,0.0356951807961318,-0.0055546652446504035,-0.027043475995969762
MomOffSeason11YrPlus,-0.02031795910893234,-0.005194748850881051,-0.010580956726971546,-0.056414929751007016,-0.02838700556316681
MomOffSeason16YrPlus,-0.02443122094381669,0.028203541207013506,0.0019771191919030493,-0.02786476294588026,-0.017187436759032608
